crop,soil_type,Seedling Stage,Moisture (min. % of moisture in soil for healthy growth of crops,Temperature,Humidity,Rainfall in mm (based on humidity and temperature,Result (will rain or not within 2 hrs)
Large Cardamom,alluvial,flowering,32.49,25.22,76.47,14.63,Yes
Paddy (rice),chalky,harvest,24.64,26.92,63.95,2.24,Yes
potato,red,fruit/bulb formation,48.96,21.52,78.84,10.35,Yes
bananas,loam,maturation,25.88,31.64,83.01,2.97,Yes
sweet potato,alluvial,fruit/bulb formation,35.32,32.05,61.27,2.49,Yes
Ginger,black,harvest,21.48,18.63,82.71,17.81,Yes
soyabeans,alluvial,flowering,30.11,26.41,51.02,3.03,Yes
peas,alluvial,flowering,36.8,28.04,78.28,6.75,Yes
mustard,sandy,flowering,40.24,32.82,69.93,1.19,No
cabbage,sandy,fruit/bulb formation,51.3,15.67,85.53,16.01,Yes
radish,clay,germination,32.53,34.99,66.27,3.31,Yes
radish,loam,harvest,23.07,25.1,44.08,3.73,Yes
cabbage,black,fruit/bulb formation,42.76,27.03,78.28,4.73,Yes
orange,loam,flowering,40.68,19.16,76.39,18.19,Yes
Large Cardamom,clay,harvest,18.57,32.11,79.62,2.92,Yes
orange,alluvial,fruit/bulb formation,44.87,16.89,60.31,1.89,No
sweet potato,clay,flowering,31.14,23.08,68.72,3.16,Yes
peas,loam,flowering,28.81,33.54,85.45,1.83,No
Ginger,sandy,fruit/bulb formation,48.78,23.58,55.39,2.01,Yes
tomato,sandy,flowering,38.45,29.69,77.09,9.67,Yes
bananas,red,flowering,35.86,27.45,89.17,8.96,Yes
potato,clay,flowering,32.41,25.72,45.2,0.21,No
soyabeans,alluvial,germination,30.8,17.43,56.64,2.86,Yes
radish,chalky,harvest,24.82,17.67,87.02,1.1,No
Maize (corn),red,maturation,21.63,33.42,84.84,2.03,Yes
sweet potato,sandy,germination,28.53,30.44,57.48,2.12,Yes
peas,alluvial,fruit/bulb formation,45.39,15.14,53.77,3.21,Yes
Ginger,red,flowering,32.91,33.86,66.91,2.92,Yes
potato,sandy,flowering,33.98,34.52,70.67,4.85,Yes
Paddy (rice),chalky,maturation,31.8,25.43,88.68,13.55,Yes
Large Cardamom,loam,maturation,22.33,24.74,45.29,3.49,Yes
kiwi,alluvial,fruit/bulb formation,43.1,15.37,62.99,0.81,No
Paddy (rice),sandy,flowering,40.65,22.32,52.32,0.73,No
peas,sandy,maturation,17.12,20.34,74.05,16.05,Yes
Ginger,sandy,harvest,13.92,32.81,62.33,3.17,Yes
Maize (corn),sandy,maturation,23.65,33.28,50.22,1.84,No
sweet potato,chalky,flowering,34.33,32.4,65.3,4.94,Yes
kiwi,sandy,harvest,24.49,15.37,43.15,1.16,No
radish,chalky,flowering,33.56,15.25,51.38,2.23,Yes
Turmeric,red,harvest,12.29,34.95,62.24,0.78,No
Large Cardamom,red,maturation,34.04,32.0,62.04,1.37,No
sweet potato,alluvial,flowering,41.75,33.46,53.34,3.07,Yes
bananas,clay,flowering,39.16,15.95,78.96,8.52,Yes
peas,loam,germination,24.6,26.34,62.98,1.53,No
kiwi,red,germination,29.92,33.74,51.26,0.19,No
bananas,red,harvest,19.78,17.93,55.81,3.49,Yes
soyabeans,red,maturation,22.5,24.47,68.86,0.92,No
Maize (corn),chalky,germination,31.45,21.05,74.16,7.46,Yes
mustard,loam,maturation,20.75,34.61,48.14,1.92,No
papaya,red,germination,28.39,25.28,49.44,1.57,No
Maize (corn),red,fruit/bulb formation,48.83,19.82,74.4,14.61,Yes
radish,red,fruit/bulb formation,45.42,25.29,83.21,6.69,Yes
beans,sandy,maturation,22.1,32.4,60.88,3.62,Yes
papaya,black,germination,24.13,33.7,43.78,2.48,Yes
Turmeric,sandy,fruit/bulb formation,37.27,33.39,61.6,0.42,No
radish,sandy,fruit/bulb formation,49.76,18.22,69.67,1.64,No
soyabeans,alluvial,germination,27.27,15.66,62.94,1.01,No
Paddy (rice),black,flowering,40.73,32.24,56.95,3.98,Yes
papaya,red,fruit/bulb formation,43.57,33.32,73.35,4.57,Yes
orange,chalky,flowering,38.13,30.97,44.47,1.44,No
Turmeric,alluvial,maturation,25.27,33.84,58.66,2.97,Yes
papaya,loam,maturation,25.18,27.93,68.67,2.15,Yes
orange,sandy,fruit/bulb formation,45.82,28.71,74.65,8.06,Yes
mustard,black,harvest,12.92,15.79,82.66,1.29,No
peas,loam,flowering,41.18,21.36,83.17,7.98,Yes
potato,black,germination,32.06,18.09,67.9,2.02,Yes
tomato,loam,harvest,12.57,19.24,52.31,2.94,Yes
cabbage,red,fruit/bulb formation,44.75,26.62,66.19,1.35,No
cabbage,alluvial,harvest,24.56,30.25,76.59,3.51,Yes
beans,clay,maturation,31.97,17.9,41.62,4.77,Yes
soyabeans,red,harvest,17.87,15.85,61.98,0.49,No
beans,black,maturation,36.5,23.14,50.51,3.44,Yes
tomato,loam,flowering,35.0,34.71,59.13,3.69,Yes
peas,chalky,fruit/bulb formation,41.4,26.58,77.2,12.21,Yes
tomato,sandy,flowering,37.11,34.32,64.92,1.09,No
soyabeans,alluvial,flowering,48.09,16.16,71.08,5.85,Yes
radish,alluvial,flowering,36.75,22.35,40.86,1.7,No
Paddy (rice),chalky,maturation,25.31,19.32,69.28,2.6,Yes
Paddy (rice),black,harvest,18.1,20.62,56.43,1.07,No
bananas,red,germination,36.14,30.34,73.25,2.17,Yes
papaya,loam,germination,29.18,30.55,71.97,3.41,Yes
bananas,loam,flowering,40.31,29.34,49.39,4.26,Yes
Ginger,black,maturation,34.31,32.96,79.09,4.65,Yes
papaya,loam,germination,29.4,29.55,84.65,2.5,Yes
kiwi,clay,fruit/bulb formation,32.36,30.14,56.24,3.14,Yes
Maize (corn),alluvial,maturation,27.15,29.3,57.32,0.5,No
Large Cardamom,sandy,flowering,32.03,22.58,84.45,18.34,Yes
mustard,clay,harvest,26.82,29.59,43.06,1.5,No
Paddy (rice),clay,germination,24.19,27.47,79.68,2.48,Yes
Ginger,clay,flowering,43.65,23.68,74.72,2.96,Yes
Maize (corn),chalky,harvest,12.04,18.65,66.23,0.27,No
cabbage,red,fruit/bulb formation,49.02,26.75,45.09,1.34,No
Ginger,sandy,germination,34.12,22.18,59.95,0.85,No
Ginger,black,maturation,25.04,16.43,57.77,4.76,Yes
peas,chalky,maturation,30.64,30.3,57.06,1.65,No
mustard,alluvial,harvest,21.06,16.79,77.43,3.88,Yes
Paddy (rice),loam,fruit/bulb formation,38.24,21.88,73.57,7.61,Yes
sweet potato,sandy,maturation,25.87,26.0,76.08,10.59,Yes
beans,loam,flowering,41.99,16.2,55.65,1.25,No
orange,black,flowering,35.73,15.25,45.55,0.08,No
radish,sandy,harvest,13.08,21.49,55.62,4.54,Yes
kiwi,loam,germination,25.57,18.64,75.75,12.39,Yes
kiwi,black,maturation,29.54,30.34,51.16,2.29,Yes
Turmeric,sandy,germination,21.56,28.31,86.01,1.73,No
papaya,chalky,harvest,17.05,22.02,65.04,0.44,No
Large Cardamom,alluvial,maturation,34.24,29.61,55.26,1.73,No
cabbage,sandy,flowering,38.37,31.36,75.65,2.66,Yes
kiwi,sandy,flowering,46.62,22.79,40.15,0.52,No
tomato,chalky,flowering,31.55,25.05,54.03,1.64,No
peas,alluvial,harvest,29.0,22.09,60.93,2.16,Yes
mustard,black,germination,27.17,31.39,53.59,1.66,No
papaya,black,fruit/bulb formation,39.74,20.09,75.07,7.69,Yes
Paddy (rice),chalky,maturation,17.24,18.89,84.44,15.71,Yes
Large Cardamom,alluvial,maturation,36.16,15.69,59.17,0.42,No
sweet potato,red,maturation,30.3,19.49,84.35,16.93,Yes
tomato,chalky,harvest,29.4,18.17,79.94,3.66,Yes
Turmeric,clay,harvest,24.97,26.19,59.67,1.91,No
sweet potato,clay,maturation,21.29,21.93,43.48,1.47,No
Ginger,loam,harvest,29.96,23.43,84.8,14.59,Yes
Turmeric,black,flowering,44.95,19.56,71.03,14.41,Yes
beans,black,germination,35.96,30.64,55.58,3.58,Yes
Large Cardamom,black,germination,34.93,34.28,71.26,1.61,No
cabbage,black,fruit/bulb formation,49.88,15.57,42.99,0.34,No
tomato,clay,germination,30.3,32.36,82.67,4.62,Yes
tomato,clay,harvest,24.62,18.9,88.6,12.8,Yes
soyabeans,black,fruit/bulb formation,44.09,23.17,84.12,13.86,Yes
beans,sandy,flowering,36.21,19.7,63.59,1.96,No
Paddy (rice),alluvial,fruit/bulb formation,41.4,17.27,74.0,14.75,Yes
Large Cardamom,red,germination,27.68,32.99,40.41,4.38,Yes
Paddy (rice),clay,flowering,34.99,29.7,50.05,4.09,Yes
tomato,chalky,harvest,16.14,28.12,40.42,4.75,Yes
papaya,sandy,germination,37.01,24.85,51.44,0.3,No
potato,red,fruit/bulb formation,42.79,27.94,60.93,4.93,Yes
bananas,alluvial,flowering,32.66,28.95,52.76,4.28,Yes
peas,alluvial,flowering,43.0,26.97,50.8,0.43,No
radish,loam,flowering,34.54,21.08,82.7,8.51,Yes
Turmeric,chalky,fruit/bulb formation,34.4,24.45,64.65,4.88,Yes
Ginger,black,fruit/bulb formation,42.73,16.96,86.93,17.45,Yes
bananas,black,fruit/bulb formation,37.22,34.3,56.53,2.76,Yes
Paddy (rice),alluvial,flowering,36.3,19.05,56.8,3.65,Yes
tomato,sandy,flowering,36.18,18.46,86.0,4.07,Yes
Paddy (rice),sandy,maturation,33.09,21.16,46.15,1.02,No
orange,sandy,maturation,32.83,33.03,71.42,4.66,Yes
radish,sandy,harvest,19.75,20.16,74.11,12.99,Yes
tomato,loam,germination,36.64,17.43,58.54,3.5,Yes
soyabeans,loam,harvest,21.49,19.11,58.58,4.42,Yes
soyabeans,black,maturation,30.02,23.32,83.23,18.8,Yes
soyabeans,sandy,harvest,22.17,18.21,57.04,0.64,No
soyabeans,red,fruit/bulb formation,49.59,22.24,48.95,4.23,Yes
Turmeric,clay,harvest,22.19,33.18,56.38,4.29,Yes
kiwi,sandy,germination,30.55,24.94,57.29,1.95,No
Large Cardamom,chalky,fruit/bulb formation,49.04,33.73,66.65,2.17,Yes
cabbage,chalky,harvest,22.32,23.5,79.56,17.18,Yes
radish,red,germination,38.33,30.01,87.0,4.47,Yes
peas,black,maturation,30.01,22.39,54.46,3.32,Yes
peas,clay,fruit/bulb formation,38.26,29.1,74.7,8.53,Yes
kiwi,black,germination,32.48,29.56,42.97,0.25,No
Large Cardamom,loam,fruit/bulb formation,34.92,18.32,82.6,17.84,Yes
Large Cardamom,loam,flowering,35.91,22.0,82.89,14.32,Yes
mustard,red,harvest,21.98,17.4,73.77,4.35,Yes
beans,clay,fruit/bulb formation,42.49,28.93,62.63,0.4,No
orange,alluvial,germination,35.59,20.9,54.47,1.43,No
kiwi,red,flowering,44.9,15.52,83.27,16.24,Yes
Ginger,loam,harvest,20.42,29.75,54.06,2.14,Yes
beans,sandy,flowering,40.61,30.39,43.41,4.29,Yes
Maize (corn),clay,fruit/bulb formation,44.98,15.02,48.54,2.93,Yes
bananas,chalky,germination,20.79,28.02,80.54,10.5,Yes
Ginger,loam,maturation,32.12,30.17,68.42,1.37,No
Large Cardamom,red,harvest,14.3,28.93,78.24,17.39,Yes
tomato,alluvial,maturation,33.24,19.1,70.05,7.48,Yes
Large Cardamom,black,fruit/bulb formation,45.42,25.28,50.04,1.26,No
Turmeric,loam,fruit/bulb formation,54.48,29.5,53.99,2.54,Yes
mustard,sandy,maturation,38.81,33.63,56.04,4.76,Yes
Turmeric,alluvial,maturation,17.8,20.72,76.8,9.73,Yes
Ginger,red,maturation,34.01,25.84,47.33,4.93,Yes
peas,chalky,germination,29.74,24.23,61.95,4.96,Yes
Large Cardamom,loam,flowering,33.99,29.11,79.06,18.09,Yes
sweet potato,chalky,germination,29.58,22.28,73.93,14.23,Yes
soyabeans,red,harvest,15.87,30.84,57.73,4.56,Yes
soyabeans,loam,flowering,44.94,23.65,75.05,13.25,Yes
sweet potato,red,harvest,27.17,22.14,41.28,2.29,Yes
cabbage,black,germination,36.17,15.93,45.7,2.59,Yes
Turmeric,loam,germination,32.36,21.19,59.57,3.18,Yes
bananas,sandy,germination,29.08,29.93,54.89,2.82,Yes
orange,sandy,harvest,28.1,27.57,81.49,4.01,Yes
Ginger,alluvial,germination,33.28,28.76,49.96,4.32,Yes
bananas,chalky,germination,29.84,17.97,59.4,4.31,Yes
beans,alluvial,fruit/bulb formation,39.07,24.58,70.51,4.28,Yes
Maize (corn),chalky,harvest,17.71,15.77,70.72,1.29,No
radish,loam,harvest,24.92,25.49,57.61,4.77,Yes
sweet potato,black,germination,24.71,25.95,41.07,3.7,Yes
bananas,clay,fruit/bulb formation,43.68,15.88,53.58,4.78,Yes
soyabeans,black,fruit/bulb formation,32.91,26.15,73.57,4.15,Yes
Turmeric,red,flowering,37.0,15.96,53.31,3.73,Yes
orange,loam,fruit/bulb formation,38.09,27.96,53.9,3.15,Yes
mustard,chalky,maturation,23.08,23.65,66.01,1.97,No
bananas,sandy,fruit/bulb formation,43.46,17.26,82.34,7.47,Yes
tomato,clay,harvest,22.29,23.48,44.31,1.71,No
cabbage,sandy,germination,31.65,19.25,45.08,0.32,No
tomato,red,fruit/bulb formation,41.81,32.76,49.67,2.62,Yes
mustard,black,harvest,26.08,18.27,82.55,15.17,Yes
peas,chalky,harvest,24.38,16.59,53.33,2.39,Yes
soyabeans,chalky,flowering,27.53,30.73,47.03,2.52,Yes
beans,black,harvest,16.28,15.23,54.88,3.46,Yes
orange,clay,germination,29.3,30.9,68.1,2.48,Yes
mustard,chalky,flowering,45.12,30.24,66.67,1.59,No
mustard,sandy,maturation,20.22,21.93,87.15,16.25,Yes
cabbage,chalky,germination,37.59,17.24,61.09,0.65,No
cabbage,alluvial,harvest,17.31,15.34,61.99,3.59,Yes
peas,chalky,flowering,29.77,17.85,64.28,4.28,Yes
Ginger,loam,harvest,18.15,34.6,69.38,2.78,Yes
Turmeric,alluvial,harvest,21.88,19.14,69.61,3.92,Yes
cabbage,chalky,germination,23.02,34.68,57.34,0.22,No
tomato,black,germination,25.35,22.13,58.91,4.89,Yes
papaya,chalky,fruit/bulb formation,48.97,25.53,69.07,4.89,Yes
soyabeans,loam,maturation,17.33,33.97,54.61,4.02,Yes
beans,loam,maturation,33.43,16.09,43.52,4.7,Yes
beans,chalky,maturation,23.23,27.22,69.26,1.09,No
mustard,loam,harvest,17.99,18.97,83.88,1.92,No
soyabeans,loam,harvest,25.01,22.96,48.27,1.18,No
potato,alluvial,fruit/bulb formation,50.12,27.9,56.03,4.51,Yes
orange,chalky,germination,27.18,15.24,70.39,8.57,Yes
sweet potato,loam,harvest,28.83,28.01,82.13,9.24,Yes
mustard,alluvial,harvest,19.04,23.17,52.81,0.17,No
Turmeric,red,harvest,15.22,16.72,71.62,16.89,Yes
peas,red,harvest,18.45,19.31,73.76,19.89,Yes
bananas,chalky,maturation,26.46,17.78,41.7,2.83,Yes
potato,loam,germination,35.36,22.33,52.07,4.68,Yes
radish,alluvial,maturation,34.72,20.92,68.93,3.54,Yes
beans,loam,flowering,37.84,17.8,85.97,8.18,Yes
papaya,chalky,maturation,29.97,29.54,71.06,3.66,Yes
tomato,chalky,germination,24.86,25.05,58.28,2.82,Yes
Paddy (rice),sandy,flowering,40.68,32.9,62.97,1.3,No
peas,black,harvest,24.5,34.87,40.44,2.15,Yes
mustard,sandy,germination,24.22,27.37,56.75,4.11,Yes
sweet potato,sandy,fruit/bulb formation,39.91,34.5,49.08,2.14,Yes
Ginger,black,germination,28.37,31.28,69.03,3.59,Yes
Turmeric,red,fruit/bulb formation,47.68,23.34,44.24,4.63,Yes
papaya,clay,germination,29.13,30.38,62.14,2.9,Yes
cabbage,clay,maturation,30.02,23.9,59.16,3.8,Yes
peas,red,germination,28.25,26.61,62.55,3.95,Yes
sweet potato,chalky,maturation,36.5,17.95,82.59,3.84,Yes
radish,loam,germination,23.3,24.65,82.73,18.45,Yes
Ginger,chalky,harvest,31.15,25.09,56.08,4.07,Yes
Paddy (rice),red,flowering,35.09,25.36,74.28,16.86,Yes
bananas,loam,maturation,29.43,23.96,71.08,13.8,Yes
peas,red,maturation,30.06,26.55,86.13,5.29,Yes
Large Cardamom,sandy,fruit/bulb formation,42.74,30.92,44.66,3.92,Yes
cabbage,clay,maturation,35.67,27.3,48.36,1.05,No
mustard,black,germination,30.88,16.99,78.1,7.08,Yes
Paddy (rice),alluvial,flowering,31.89,21.81,88.43,19.61,Yes
mustard,loam,flowering,40.57,28.27,58.83,3.92,Yes
Paddy (rice),red,germination,30.81,28.19,47.63,2.64,Yes
orange,clay,flowering,37.82,32.33,61.26,2.1,Yes
cabbage,clay,harvest,12.73,19.48,68.37,2.06,Yes
mustard,loam,maturation,21.61,32.93,44.09,3.17,Yes
potato,alluvial,flowering,46.59,27.35,61.61,3.6,Yes
Large Cardamom,sandy,maturation,19.95,15.15,55.81,4.29,Yes
Turmeric,chalky,harvest,20.77,26.35,49.02,3.24,Yes
Paddy (rice),black,flowering,43.93,19.15,63.15,3.51,Yes
peas,loam,maturation,31.27,16.28,47.05,3.32,Yes
soyabeans,red,germination,32.01,24.53,83.43,18.11,Yes
beans,sandy,germination,28.63,33.78,63.99,3.65,Yes
kiwi,chalky,maturation,37.02,30.36,52.0,3.58,Yes
tomato,clay,flowering,36.13,29.25,65.98,4.68,Yes
radish,alluvial,harvest,21.8,19.32,88.96,16.68,Yes
kiwi,red,fruit/bulb formation,32.94,24.57,78.76,18.72,Yes
potato,red,harvest,17.03,21.03,86.13,16.35,Yes
Large Cardamom,red,maturation,22.51,20.27,55.75,1.76,No
kiwi,clay,harvest,27.23,17.61,65.13,3.16,Yes
sweet potato,loam,germination,32.72,15.19,81.17,14.6,Yes
mustard,loam,fruit/bulb formation,41.43,19.49,50.08,4.56,Yes
papaya,red,fruit/bulb formation,37.6,23.26,58.81,0.97,No
Paddy (rice),red,maturation,27.92,17.88,55.26,2.03,Yes
sweet potato,clay,fruit/bulb formation,42.36,30.89,68.96,0.69,No
Maize (corn),black,germination,29.31,28.41,66.36,1.56,No
tomato,alluvial,harvest,25.01,16.67,55.32,1.72,No
Turmeric,alluvial,maturation,27.15,29.69,85.26,7.63,Yes
papaya,black,harvest,16.83,31.4,57.01,4.56,Yes
beans,chalky,harvest,15.63,20.08,47.35,3.42,Yes
Maize (corn),red,flowering,45.71,15.66,69.8,3.5,Yes
kiwi,black,fruit/bulb formation,44.37,18.81,51.62,4.8,Yes
kiwi,chalky,flowering,38.57,25.56,80.0,8.03,Yes
papaya,black,fruit/bulb formation,41.59,21.81,61.94,0.56,No
Large Cardamom,black,harvest,25.76,32.53,78.08,4.93,Yes
tomato,chalky,harvest,24.14,29.13,76.19,19.73,Yes
orange,black,fruit/bulb formation,43.25,28.94,52.24,1.63,No
Ginger,alluvial,maturation,33.98,15.97,66.94,0.17,No
sweet potato,sandy,maturation,29.23,20.98,53.35,2.93,Yes
radish,loam,harvest,17.56,21.11,44.34,3.52,Yes
Large Cardamom,alluvial,harvest,22.35,21.55,57.61,1.32,No
cabbage,clay,maturation,21.27,24.4,56.77,2.38,Yes
radish,black,germination,35.2,15.38,88.82,5.51,Yes
cabbage,loam,germination,29.98,18.68,75.3,10.98,Yes
cabbage,sandy,flowering,38.76,33.51,85.05,1.78,No
kiwi,chalky,fruit/bulb formation,42.27,31.48,83.05,0.46,No
orange,alluvial,flowering,40.0,27.47,41.1,2.39,Yes
Maize (corn),black,flowering,31.23,29.73,77.56,2.7,Yes
radish,alluvial,flowering,35.58,31.53,78.68,4.91,Yes
bananas,chalky,fruit/bulb formation,46.01,30.02,68.71,2.24,Yes
kiwi,loam,flowering,28.11,18.76,49.08,1.12,No
radish,alluvial,flowering,30.85,31.93,69.43,1.14,No
Large Cardamom,chalky,fruit/bulb formation,37.68,31.96,44.64,2.56,Yes
soyabeans,chalky,harvest,29.25,24.32,40.45,1.88,No
tomato,clay,maturation,27.11,22.28,40.91,3.78,Yes
Large Cardamom,loam,flowering,37.3,34.33,44.1,0.84,No
cabbage,red,germination,35.38,18.56,70.75,5.85,Yes
mustard,alluvial,germination,36.11,24.98,77.68,17.86,Yes
Turmeric,chalky,germination,35.22,23.47,46.85,4.63,Yes
Ginger,black,flowering,38.62,20.4,84.18,18.47,Yes
potato,black,flowering,42.54,19.01,78.15,3.56,Yes
bananas,black,harvest,25.97,24.64,68.27,4.78,Yes
papaya,black,harvest,26.28,31.57,44.96,1.05,No
radish,clay,flowering,38.34,19.9,74.02,3.2,Yes
Turmeric,chalky,fruit/bulb formation,50.53,17.07,62.48,4.72,Yes
papaya,clay,germination,34.08,23.75,49.92,2.28,Yes
Turmeric,chalky,fruit/bulb formation,45.83,22.2,44.17,4.86,Yes
cabbage,sandy,germination,27.75,26.08,75.75,8.67,Yes
Large Cardamom,clay,harvest,24.86,29.68,52.29,4.39,Yes
cabbage,clay,flowering,39.54,32.19,86.48,1.22,No
beans,alluvial,harvest,29.85,25.36,75.02,9.47,Yes
beans,chalky,flowering,33.5,15.6,45.5,0.61,No
Paddy (rice),sandy,flowering,38.76,25.63,87.77,18.7,Yes
Paddy (rice),chalky,maturation,23.59,23.18,42.03,2.68,Yes
Large Cardamom,chalky,flowering,43.89,16.43,57.62,2.24,Yes
peas,sandy,harvest,28.21,28.08,72.51,5.37,Yes
bananas,chalky,germination,31.05,19.94,80.09,15.07,Yes
Ginger,alluvial,fruit/bulb formation,48.02,17.12,42.23,0.21,No
radish,chalky,maturation,20.9,25.27,71.77,16.63,Yes
tomato,chalky,flowering,35.97,16.26,62.91,4.13,Yes
sweet potato,red,flowering,29.23,17.32,42.04,2.8,Yes
bananas,sandy,fruit/bulb formation,39.97,20.29,78.58,12.93,Yes
Turmeric,clay,fruit/bulb formation,46.07,23.61,80.38,18.6,Yes
cabbage,alluvial,germination,30.29,26.33,48.09,1.67,No
peas,red,harvest,18.35,28.41,53.01,3.66,Yes
potato,alluvial,germination,23.61,26.02,86.22,10.56,Yes
soyabeans,red,harvest,14.43,29.31,54.79,3.35,Yes
soyabeans,black,harvest,27.43,30.99,64.31,0.83,No
Turmeric,loam,germination,34.29,21.29,74.7,7.18,Yes
peas,black,maturation,34.18,15.58,87.19,15.1,Yes
cabbage,alluvial,germination,25.11,21.02,66.17,2.44,Yes
Large Cardamom,red,harvest,28.44,28.27,83.51,1.5,No
bananas,black,flowering,30.89,21.17,85.04,4.42,Yes
radish,clay,fruit/bulb formation,42.06,26.12,49.27,4.72,Yes
Maize (corn),sandy,maturation,37.94,17.73,78.1,11.66,Yes
radish,loam,germination,32.24,16.91,56.38,1.61,No
mustard,alluvial,flowering,37.13,15.9,74.37,6.1,Yes
potato,alluvial,flowering,34.47,30.48,42.57,2.95,Yes
Maize (corn),clay,fruit/bulb formation,47.78,23.3,69.14,1.18,No
potato,black,fruit/bulb formation,41.81,20.17,56.24,0.74,No
peas,red,germination,38.54,27.49,74.81,16.77,Yes
potato,sandy,fruit/bulb formation,44.73,16.59,61.31,2.24,Yes
Large Cardamom,sandy,harvest,22.75,28.41,55.78,3.53,Yes
peas,chalky,maturation,27.06,15.59,55.59,2.24,Yes
sweet potato,clay,fruit/bulb formation,50.82,32.14,63.01,2.57,Yes
papaya,clay,harvest,20.26,34.36,42.52,3.3,Yes
peas,chalky,fruit/bulb formation,44.55,17.75,54.32,3.32,Yes
radish,sandy,flowering,31.73,27.08,40.48,1.45,No
Paddy (rice),alluvial,maturation,15.47,17.23,72.98,18.87,Yes
bananas,sandy,flowering,35.95,20.85,75.17,1.01,No
cabbage,red,harvest,24.09,22.28,68.45,2.51,Yes
soyabeans,clay,maturation,26.41,25.15,44.66,1.73,No
radish,alluvial,flowering,31.42,17.76,80.76,11.14,Yes
radish,sandy,flowering,40.63,20.35,48.46,4.98,Yes
beans,black,fruit/bulb formation,48.55,27.32,42.51,4.77,Yes
Maize (corn),black,germination,35.43,15.24,46.99,2.26,Yes
kiwi,sandy,germination,34.31,33.31,74.52,1.85,No
mustard,clay,harvest,24.57,29.55,61.02,1.04,No
orange,sandy,fruit/bulb formation,39.85,19.5,64.89,1.54,No
Maize (corn),loam,germination,26.87,24.97,69.14,2.76,Yes
Large Cardamom,alluvial,flowering,34.07,18.85,63.35,1.3,No
sweet potato,sandy,flowering,33.24,19.92,65.86,3.28,Yes
beans,red,flowering,40.65,28.24,67.48,0.77,No
beans,sandy,germination,22.55,28.03,88.98,15.19,Yes
papaya,chalky,maturation,35.45,30.48,40.54,0.72,No
peas,alluvial,maturation,30.18,26.2,51.46,0.6,No
Maize (corn),alluvial,germination,31.15,33.22,50.49,1.0,No
papaya,chalky,fruit/bulb formation,44.48,24.64,47.73,2.2,Yes
tomato,clay,fruit/bulb formation,34.75,21.73,85.14,7.25,Yes
kiwi,chalky,maturation,21.72,25.21,63.37,4.01,Yes
Maize (corn),clay,fruit/bulb formation,32.61,15.06,50.75,0.54,No
mustard,alluvial,germination,28.61,22.44,42.94,0.27,No
Ginger,alluvial,maturation,30.04,22.04,56.5,4.77,Yes
sweet potato,sandy,germination,30.99,27.36,43.77,1.88,No
orange,loam,germination,29.61,32.92,69.17,4.59,Yes
bananas,clay,harvest,28.67,32.87,78.35,4.57,Yes
cabbage,loam,maturation,25.48,16.27,51.13,3.9,Yes
Large Cardamom,chalky,germination,30.1,24.4,65.78,0.12,No
Paddy (rice),black,germination,37.12,32.09,56.8,1.34,No
sweet potato,sandy,fruit/bulb formation,51.4,21.66,57.65,0.88,No
potato,sandy,germination,35.53,26.06,59.05,3.79,Yes
tomato,clay,germination,30.66,33.82,72.13,1.25,No
tomato,black,flowering,36.2,34.82,73.37,0.08,No
mustard,clay,fruit/bulb formation,39.86,34.06,70.22,3.03,Yes
bananas,black,harvest,29.44,30.1,45.36,2.71,Yes
mustard,black,harvest,21.57,20.91,85.79,18.78,Yes
radish,sandy,fruit/bulb formation,40.82,16.88,59.27,3.91,Yes
tomato,chalky,harvest,28.63,27.15,76.55,15.63,Yes
tomato,alluvial,harvest,21.08,26.02,40.82,2.5,Yes
beans,red,germination,27.23,32.32,41.62,2.39,Yes
Turmeric,loam,germination,29.7,17.38,47.39,2.02,Yes
radish,alluvial,germination,34.05,19.62,54.14,1.47,No
cabbage,chalky,maturation,19.54,27.5,53.11,2.57,Yes
mustard,alluvial,harvest,15.06,25.61,56.63,4.37,Yes
radish,clay,germination,31.18,34.95,43.55,3.99,Yes
cabbage,loam,fruit/bulb formation,40.85,21.91,43.02,0.7,No
sweet potato,clay,fruit/bulb formation,36.14,24.98,74.47,16.8,Yes
soyabeans,loam,fruit/bulb formation,46.35,31.51,44.49,1.18,No
Large Cardamom,loam,germination,28.21,32.1,85.06,1.41,No
beans,clay,fruit/bulb formation,36.06,33.81,74.59,3.81,Yes
sweet potato,black,harvest,31.51,22.63,79.68,4.96,Yes
potato,alluvial,maturation,39.38,28.28,72.55,4.0,Yes
potato,alluvial,flowering,41.38,15.06,50.97,1.97,No
soyabeans,loam,harvest,26.44,19.94,53.21,2.0,Yes
cabbage,chalky,germination,30.56,29.13,86.65,12.74,Yes
mustard,red,harvest,18.82,16.17,74.76,7.7,Yes
peas,sandy,maturation,33.52,16.37,75.13,19.64,Yes
kiwi,clay,fruit/bulb formation,47.46,30.63,63.88,2.83,Yes
Paddy (rice),alluvial,germination,26.83,17.62,54.63,4.5,Yes
beans,loam,fruit/bulb formation,45.41,20.74,63.99,3.84,Yes
kiwi,clay,germination,29.98,16.06,47.84,0.63,No
soyabeans,alluvial,flowering,43.64,34.35,82.82,1.79,No
kiwi,chalky,harvest,26.85,23.19,70.48,8.73,Yes
cabbage,black,maturation,23.37,33.56,87.32,4.53,Yes
Paddy (rice),chalky,maturation,24.01,24.87,84.54,12.72,Yes
orange,red,germination,37.92,31.56,82.65,0.08,No
beans,alluvial,germination,30.89,29.83,42.48,0.83,No
